season,mean_pm25,median_pm25,std_pm25,station,year
Pre-monsoon,180.1869258224705,154.25,113.91041884991226,station_125_punjabi_bagh_delhi_dpcc_1hr,2021
Winter,306.51976108741405,271.125,159.3231989771627,station_125_punjabi_bagh_delhi_dpcc_1hr,2021
Monsoon,133.62387953790045,116.25,88.03369950455092,station_125_punjabi_bagh_delhi_dpcc_1hr,2022
Post-monsoon,278.8904854949656,257.0,153.05591191830575,station_125_punjabi_bagh_delhi_dpcc_1hr,2022
Pre-monsoon,277.20666859147326,255.0,124.9582181067015,station_125_punjabi_bagh_delhi_dpcc_1hr,2022
Winter,277.5703792233436,250.75,141.78242151304448,station_125_punjabi_bagh_delhi_dpcc_1hr,2022
Monsoon,47.447570129309256,44.0,22.913734306744374,station_125_punjabi_bagh_delhi_dpcc_1hr,2023
Post-monsoon,207.64135338345864,178.75,141.68729118211849,station_125_punjabi_bagh_delhi_dpcc_1hr,2023
Pre-monsoon,78.9617512981156,63.5,53.59556519477093,station_125_punjabi_bagh_delhi_dpcc_1hr,2023
Winter,188.8901319441479,174.25,102.53147507693355,station_125_punjabi_bagh_delhi_dpcc_1hr,2023
Monsoon,50.747023399436834,47.0,26.876969423228648,station_125_punjabi_bagh_delhi_dpcc_1hr,2024
Post-monsoon,205.96893871893872,178.0,143.81719495367014,station_125_punjabi_bagh_delhi_dpcc_1hr,2024
Pre-monsoon,84.95619791666667,74.0,52.82675838470394,station_125_punjabi_bagh_delhi_dpcc_1hr,2024
Winter,192.06942184718832,173.75,116.87948720529253,station_125_punjabi_bagh_delhi_dpcc_1hr,2024
Monsoon,112.4961603468548,88.75,86.47691884110282,station_1420_ashok_vihar_delhi_dpcc_1hr,2021
Post-monsoon,308.3183785911059,279.75,172.5618554176135,station_1420_ashok_vihar_delhi_dpcc_1hr,2021
Pre-monsoon,207.89237834854418,184.0,127.01672989761171,station_1420_ashok_vihar_delhi_dpcc_1hr,2021
Winter,324.88888445279474,290.0,162.9370891571099,station_1420_ashok_vihar_delhi_dpcc_1hr,2021
Monsoon,125.1448909017092,104.75,87.94220582469627,station_1420_ashok_vihar_delhi_dpcc_1hr,2022
Post-monsoon,294.64806103458716,275.0,167.38401240857397,station_1420_ashok_vihar_delhi_dpcc_1hr,2022
Pre-monsoon,256.3125846953963,234.25,114.65364290771295,station_1420_ashok_vihar_delhi_dpcc_1hr,2022
Winter,267.91650837361624,244.125,136.18858544100732,station_1420_ashok_vihar_delhi_dpcc_1hr,2022
Monsoon,29.074533664146188,25.75,16.670359150741916,station_1420_ashok_vihar_delhi_dpcc_1hr,2023
Post-monsoon,184.10435179346976,163.95000000000002,119.91580510497741,station_1420_ashok_vihar_delhi_dpcc_1hr,2023
Pre-monsoon,61.35946225226687,48.0,44.26325746130526,station_1420_ashok_vihar_delhi_dpcc_1hr,2023
Winter,169.8368737319743,157.75,90.7227136341275,station_1420_ashok_vihar_delhi_dpcc_1hr,2023
Monsoon,102.21909126846865,85.0,72.5376946728295,station_1420_ashok_vihar_delhi_dpcc_1hr,2024
Post-monsoon,340.82108302892686,311.0,184.63798303837123,station_1420_ashok_vihar_delhi_dpcc_1hr,2024
Pre-monsoon,226.3498980054397,211.0,91.7627443153764,station_1420_ashok_vihar_delhi_dpcc_1hr,2024
Winter,308.0677205635693,278.25,154.56758341326622,station_1420_ashok_vihar_delhi_dpcc_1hr,2024
Monsoon,91.31421971252567,71.5,71.60968746484221,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2021
Post-monsoon,257.9383700266561,243.25,145.10340975241652,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2021
Pre-monsoon,181.67423893953332,160.0,107.53446435318364,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2021
Winter,271.25319223573433,256.25,119.2440785617241,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2021
Monsoon,93.88145516665028,73.0,74.809600336265,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2022
Post-monsoon,221.30252233676975,214.5,117.02993965754425,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2022
Pre-monsoon,215.98085805277523,200.75,93.72868806683441,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2022
Winter,225.16891557835822,214.125,104.15724282994994,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2022
Monsoon,34.214673798251866,32.25,17.39803783182921,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2023
Post-monsoon,169.13468992248062,141.75,116.71354799017091,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2023
Pre-monsoon,60.14330464975845,48.25,41.552116571438496,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2023
Winter,166.57168209876542,153.875,95.833374210004,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2023
Monsoon,40.504419750652936,35.0,24.954374226629362,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2024
Post-monsoon,175.706568088033,156.0,127.87555610521478,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2024
Pre-monsoon,68.5433446557971,59.75,39.98451896151465,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2024
Winter,168.743669493592,154.0,98.5371321594937,station_1421_dr__karni_singh_shooting_range_delhi_dpc,2024
Monsoon,38.392749289145996,35.5,20.108104859619296,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2021
Post-monsoon,161.5980861244019,135.75,118.22198667104809,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2021
Pre-monsoon,80.23301281281161,62.75,60.98172601493169,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2021
Winter,195.39594459279039,174.875,108.13516943856607,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2021
Monsoon,36.929515449553314,31.75,23.218276842449384,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2022
Post-monsoon,146.37552361396305,133.0,97.67773800672074,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2022
Pre-monsoon,89.64995812005584,74.75,51.55652632168075,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2022
Winter,157.80819626168224,143.0,88.77560310118032,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2022
Monsoon,35.41180193997121,32.25,18.70237406624779,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2023
Post-monsoon,188.25808201964819,167.25,119.76205642373061,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2023
Pre-monsoon,70.7312560823962,52.75,52.16306430344616,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2023
Winter,182.9159150782582,166.5,105.3735935696714,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2023
Monsoon,40.75717213114754,36.0,24.912396826451324,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2024
Post-monsoon,190.47375256322624,167.0,134.4107936880951,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2024
Pre-monsoon,82.80876358695652,66.0,60.02521241357113,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2024
Winter,180.5127793040293,163.125,106.71647874892037,station_1422_dwarka_sector_8_delhi_dpcc__1hr,2024
Monsoon,125.3373170961956,102.5,90.67625027898951,station_1423_jahangirpuri_delhi_dpcc_1hr,2021
Post-monsoon,362.7301111811478,329.25,193.25561467966236,station_1423_jahangirpuri_delhi_dpcc_1hr,2021
Pre-monsoon,252.27600884680865,231.0,136.4370214018664,station_1423_jahangirpuri_delhi_dpcc_1hr,2021
Winter,388.2165444920933,354.625,177.49062425556713,station_1423_jahangirpuri_delhi_dpcc_1hr,2021
Monsoon,137.91510383419842,115.5,89.30112366269425,station_1423_jahangirpuri_delhi_dpcc_1hr,2022
Post-monsoon,352.86300396278426,327.75,191.0681588060392,station_1423_jahangirpuri_delhi_dpcc_1hr,2022
Pre-monsoon,277.05006925418564,250.0,127.06114078027579,station_1423_jahangirpuri_delhi_dpcc_1hr,2022
Winter,328.24674203574205,294.25,167.63959591062562,station_1423_jahangirpuri_delhi_dpcc_1hr,2022
Monsoon,46.107088402630126,41.5,24.724507226234824,station_1423_jahangirpuri_delhi_dpcc_1hr,2023
Post-monsoon,216.93986742424244,190.49999999999994,138.36737916052653,station_1423_jahangirpuri_delhi_dpcc_1hr,2023
Pre-monsoon,86.6251403760031,68.0,60.995379568668724,station_1423_jahangirpuri_delhi_dpcc_1hr,2023
Winter,200.86517954540395,186.3333333333333,108.09865663165306,station_1423_jahangirpuri_delhi_dpcc_1hr,2023
Monsoon,49.474764652968624,42.0,31.79801747201129,station_1423_jahangirpuri_delhi_dpcc_1hr,2024
Post-monsoon,222.4190622861054,201.0,145.34621690374212,station_1423_jahangirpuri_delhi_dpcc_1hr,2024
Pre-monsoon,95.18791156295933,78.0,61.54799381930689,station_1423_jahangirpuri_delhi_dpcc_1hr,2024
Winter,204.40810617494586,181.33,123.98361901039142,station_1423_jahangirpuri_delhi_dpcc_1hr,2024
Monsoon,36.36432058350563,33.0,19.44719644287608,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2021
Post-monsoon,156.82040005449096,136.125,119.7143475780656,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2021
Pre-monsoon,62.65055416978465,51.25,45.72965266257592,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2021
Winter,180.58658401522027,159.75,102.44674949875453,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2021
Monsoon,37.10651668378177,32.75,21.652910476532345,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2022
Post-monsoon,137.6450618131868,123.25,93.1346391421402,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2022
Pre-monsoon,81.05928016453382,72.0,41.248447177966554,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2022
Winter,147.05629870129872,138.75,82.36948859976792,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2022
Monsoon,32.57388260650718,30.0,17.013472922850394,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2023
Post-monsoon,155.28654005881427,135.0,114.54390988519062,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2023
Pre-monsoon,56.11481566820276,45.0,38.05128529132657,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2023
Winter,161.99984423676014,148.0,87.5750178576504,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2023
Monsoon,88.29789022729835,67.0,72.59426400142857,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2024
Post-monsoon,283.3388438155027,260.0,142.0914626330948,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2024
Pre-monsoon,169.8733786231884,158.5,70.33759396884739,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2024
Winter,260.11153453871117,239.5,129.95970386819386,station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2024
Monsoon,34.1044941900205,31.0,17.222929840012245,station_1425_major_dhyan_chand_national_stadium_delhi,2021
Post-monsoon,155.40714285714284,133.125,112.7496671712441,station_1425_major_dhyan_chand_national_stadium_delhi,2021
Pre-monsoon,63.26312764908036,52.25,45.13992042109837,station_1425_major_dhyan_chand_national_stadium_delhi,2021
Winter,182.55576298701297,161.625,99.10747794317905,station_1425_major_dhyan_chand_national_stadium_delhi,2021
Monsoon,41.970752393980845,37.25,24.094200555600192,station_1425_major_dhyan_chand_national_stadium_delhi,2022
Post-monsoon,141.22515829046299,124.5,94.03956346534993,station_1425_major_dhyan_chand_national_stadium_delhi,2022
Pre-monsoon,91.22648746463118,80.0,46.67717242004516,station_1425_major_dhyan_chand_national_stadium_delhi,2022
Winter,155.31157686882932,148.5,82.2211939957495,station_1425_major_dhyan_chand_national_stadium_delhi,2022
Monsoon,116.20773077850083,107.75,61.60125452097418,station_1425_major_dhyan_chand_national_stadium_delhi,2023
Post-monsoon,268.39837504514264,248.5,136.01471694228036,station_1425_major_dhyan_chand_national_stadium_delhi,2023
Pre-monsoon,177.48052895576834,156.25,102.15471027599897,station_1425_major_dhyan_chand_national_stadium_delhi,2023
Winter,259.3072268647478,250.0,110.43306277351245,station_1425_major_dhyan_chand_national_stadium_delhi,2023
Monsoon,100.17897136996184,79.0,78.81750823571204,station_1425_major_dhyan_chand_national_stadium_delhi,2024
Post-monsoon,293.9598584254144,273.0,140.65831127494675,station_1425_major_dhyan_chand_national_stadium_delhi,2024
Pre-monsoon,167.42824669187144,155.75,74.62523526253233,station_1425_major_dhyan_chand_national_stadium_delhi,2024
Winter,248.23944227344677,232.125,118.0533560129148,station_1425_major_dhyan_chand_national_stadium_delhi,2024
Monsoon,42.911118808451675,38.0,26.189210348760504,station_1426_narela_delhi_dpcc_1hr,2021
Post-monsoon,183.17427408953603,139.0,140.59376490177266,station_1426_narela_delhi_dpcc_1hr,2021
Pre-monsoon,96.13331112454323,76.0,74.6978588759331,station_1426_narela_delhi_dpcc_1hr,2021
Winter,199.33294609665427,181.625,103.9477746624748,station_1426_narela_delhi_dpcc_1hr,2021
Monsoon,134.94591186971195,107.75,95.77164804146226,station_1426_narela_delhi_dpcc_1hr,2022
Post-monsoon,278.8545096685083,249.0,172.44350816462054,station_1426_narela_delhi_dpcc_1hr,2022
Pre-monsoon,302.4564290387527,270.75,141.6325366050552,station_1426_narela_delhi_dpcc_1hr,2022
Winter,256.7823319891817,229.0,128.97074262330895,station_1426_narela_delhi_dpcc_1hr,2022
Monsoon,39.12985918987754,35.0,22.61298024054716,station_1426_narela_delhi_dpcc_1hr,2023
Post-monsoon,182.50256147540983,160.5,116.68737304483453,station_1426_narela_delhi_dpcc_1hr,2023
Pre-monsoon,85.01045440821257,62.0,67.53524940673555,station_1426_narela_delhi_dpcc_1hr,2023
Winter,175.1102547065338,162.0,92.04014282596454,station_1426_narela_delhi_dpcc_1hr,2023
